,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,Id,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,PID,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,SalePrice,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,Bsmt Cond Num,Bsmt Qual Num,Garage Cond Num,Garage Qual Num,Exter Cond Num,Exter Qual Num,Heating QC Num,Kitchen Qual Num,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sal,Functional_Sev,Functional_Typ
0,725,754,0,NA,3,1Fam,TA,No,0.0,0.0,TA,192.0,533.0,0.0,GLQ,Unf,Y,RRAe,Norm,SBrkr,0,TA,Gd,HdBoard,Plywood,NA,NA,0,CBlock,2,475.0,2.0,TA,RFn,TA,Attchd,1976.0,1479,1,GasA,Ex,109,1,Gd,Lvl,Gtl,13517,CulDSac,68.87899941826643,IR1,0,60,RL,289.0,BrkFace,NA,0,3,44,8,6,533352170,Y,0,NA,CompShg,Gable,130500,0,Pave,6,725.0,AllPub,0,1976,2005,2010,3,3,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,913,1209,0,NA,4,1Fam,TA,No,1.0,0.0,Gd,276.0,637.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,TA,1,PConc,2,559.0,2.0,TA,RFn,TA,Attchd,1997.0,2122,1,GasA,Ex,544,1,Gd,Lvl,Gtl,11492,CulDSac,43.0,IR1,0,60,RL,132.0,BrkFace,NA,0,4,74,5,7,531379050,Y,0,NA,CompShg,Gable,220000,0,Pave,8,913.0,AllPub,0,1996,1997,2009,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1057,0,0,NA,3,1Fam,TA,No,1.0,0.0,TA,326.0,731.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NA,NA,0,CBlock,1,246.0,1.0,TA,Unf,TA,Detchd,1953.0,1057,0,GasA,TA,153,1,Gd,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,NA,0,1,52,7,5,535304180,Y,0,NA,CompShg,Gable,109000,0,Pave,5,1057.0,AllPub,0,1953,2007,2010,3,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,744,700,0,NA,3,1Fam,TA,No,0.0,0.0,Gd,384.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,400.0,2.0,TA,Fin,TA,BuiltIn,2007.0,1444,1,GasA,Gd,318,1,TA,Lvl,Gtl,9802,Inside,73.0,Reg,0,60,RL,0.0,None,NA,0,4,0,5,5,916386060,Y,0,NA,CompShg,Gable,174000,0,Pave,7,384.0,AllPub,100,2006,2007,2010,3,4,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,831,614,0,NA,3,1Fam,Gd,No,0.0,0.0,Fa,676.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Plywood,NA,NA,0,PConc,2,484.0,2.0,TA,Unf,TA,Detchd,1957.0,1445,0,GasA,TA,255,1,TA,Lvl,Gtl,14235,Inside,82.0,IR1,0,50,RL,0.0,None,NA,0,3,59,8,6,906425045,N,0,NA,CompShg,Gable,138500,0,Pave,6,676.0,AllPub,0,1900,1993,2010,4,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,1888,0,0,NA,2,1Fam,TA,No,0.0,0.0,TA,557.0,247.0,713.0,ALQ,Rec,Y,PosA,Norm,SBrkr,0,TA,Gd,BrkFace,Plywood,NA,Gd,1,CBlock,2,578.0,2.0,TA,Fin,TA,Attchd,1966.0,1888,1,GasA,Ex,138,1,Gd,Lvl,Gtl,16492,Corner,137.0,IR1,0,20,RL,0.0,None,NA,0,6,0,6,6,535126040,Y,0,NA,CompShg,Gable,190000,0,Pave,6,1517.0,AllPub,0,1966,2002,2010,3,3,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6,1072,0,0,NA,2,TwnhsE,TA,Gd,1.0,0.0,Gd,0.0,547.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,525.0,2.0,TA,Fin,TA,Basment,2005.0,1072,0,GasA,Gd,2827,1,TA,Lvl,Gtl,3675,Inside,35.0,Reg,0,180,RM,82.0,BrkFace,NA,0,6,44,5,6,908186070,Y,0,NA,CompShg,Gable,140000,0,Pave,5,547.0,AllPub,0,2005,2006,2006,3,4,3,3,3,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,1188,0,0,NA,3,1Fam,TA,No,1.0,0.0,TA,188.0,1000.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,MnPrv,NA,0,CBlock,1,531.0,2.0,TA,RFn,TA,Attchd,1959.0,1188,0,GasA,Fa,145,1,TA,Lvl,Gtl,12160,Inside,68.87899941826643,IR1,0,20,RL,180.0,BrkFace,NA,0,5,0,5,5,535154050,Y,0,NA,CompShg,Hip,142000,0,Pave,6,1188.0,AllPub,0,1959,1959,2010,3,3,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,924,0,0,NA,2,1Fam,TA,No,0.0,0.0,TA,632.0,292.0,0.0,Rec,Unf,Y,Artery,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,NA,0,CBlock,1,420.0,1.0,TA,Unf,TA,Detchd,1952.0,924,0,GasA,TA,1942,1,TA,Lvl,Gtl,15783,Inside,68.87899941826643,Reg,0,20,RL,0.0,None,Shed,400,6,324,5,5,535353130,Y,0,NA,CompShg,Gable,112500,0,Pave,6,924.0,AllPub,0,1952,1952,2007,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,1040,1040,0,NA,5,1Fam,TA,Av,0.0,1.0,Gd,390.0,650.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,PConc,1,504.0,2.0,TA,Unf,TA,Attchd,1969.0,2080,2,GasA,TA,1956,1,Fa,HLS,Sev,11606,Inside,70.0,IR1,0,60,RL,192.0,BrkFace,NA,0,9,0,5,5,535426130,Y,0,NA,CompShg,Gable,135000,0,Pave,9,1040.0,AllPub,335,1969,1969,2007,3,4,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
