,1st Flr SF,2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bsmt Full Bath,Bsmt Half Bath,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,Enclosed Porch,Fireplaces,Full Bath,Garage Area,Garage Cars,Garage Yr Blt,Gr Liv Area,Half Bath,Id,Kitchen AbvGr,Lot Area,Lot Frontage,Low Qual Fin SF,MS SubClass,Mas Vnr Area,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,PID,Pool Area,SalePrice,Screen Porch,TotRms AbvGrd,Total Bsmt SF,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold
0,725,754,0,3,0.0,0.0,192.0,533.0,0.0,0,0,2,475.0,2.0,1976.0,1479,1,109,1,13517,68.87899941826643,0,60,289.0,0,3,44,8,6,533352170,0,130500,0,6,725.0,0,1976,2005,2010
1,913,1209,0,4,1.0,0.0,276.0,637.0,0.0,0,1,2,559.0,2.0,1997.0,2122,1,544,1,11492,43.0,0,60,132.0,0,4,74,5,7,531379050,0,220000,0,8,913.0,0,1996,1997,2009
2,1057,0,0,3,1.0,0.0,326.0,731.0,0.0,0,0,1,246.0,1.0,1953.0,1057,0,153,1,7922,68.0,0,20,0.0,0,1,52,7,5,535304180,0,109000,0,5,1057.0,0,1953,2007,2010
3,744,700,0,3,0.0,0.0,384.0,0.0,0.0,0,0,2,400.0,2.0,2007.0,1444,1,318,1,9802,73.0,0,60,0.0,0,4,0,5,5,916386060,0,174000,0,7,384.0,100,2006,2007,2010
4,831,614,0,3,0.0,0.0,676.0,0.0,0.0,0,0,2,484.0,2.0,1957.0,1445,0,255,1,14235,82.0,0,50,0.0,0,3,59,8,6,906425045,0,138500,0,6,676.0,0,1900,1993,2010
5,1888,0,0,2,0.0,0.0,557.0,247.0,713.0,0,1,2,578.0,2.0,1966.0,1888,1,138,1,16492,137.0,0,20,0.0,0,6,0,6,6,535126040,0,190000,0,6,1517.0,0,1966,2002,2010
6,1072,0,0,2,1.0,0.0,0.0,547.0,0.0,0,0,2,525.0,2.0,2005.0,1072,0,2827,1,3675,35.0,0,180,82.0,0,6,44,5,6,908186070,0,140000,0,5,547.0,0,2005,2006,2006
7,1188,0,0,3,1.0,0.0,188.0,1000.0,0.0,0,0,1,531.0,2.0,1959.0,1188,0,145,1,12160,68.87899941826643,0,20,180.0,0,5,0,5,5,535154050,0,142000,0,6,1188.0,0,1959,1959,2010
8,924,0,0,2,0.0,0.0,632.0,292.0,0.0,0,0,1,420.0,1.0,1952.0,924,0,1942,1,15783,68.87899941826643,0,20,0.0,400,6,324,5,5,535353130,0,112500,0,6,924.0,0,1952,1952,2007
9,1040,1040,0,5,0.0,1.0,390.0,650.0,0.0,0,2,1,504.0,2.0,1969.0,2080,2,1956,1,11606,70.0,0,60,192.0,0,9,0,5,5,535426130,0,135000,0,9,1040.0,335,1969,1969,2007
